time,open,high,low,close,volume
2025-08-13 07:00:00,9.5,9.5,9.1,9.1,7500
2025-08-14 07:00:00,9.4,9.4,9.0,9.0,10000
2025-08-15 07:00:00,9.1,9.2,9.0,9.0,5200
2025-08-18 07:00:00,9.0,9.2,9.0,9.0,8400
2025-08-19 07:00:00,9.0,9.2,9.0,9.0,2900
2025-08-20 07:00:00,9.1,9.2,9.1,9.1,700
2025-08-21 07:00:00,9.1,9.1,8.9,9.1,2100
2025-08-22 07:00:00,9.1,9.1,9.0,9.1,900
2025-08-25 07:00:00,9.1,9.1,8.2,9.0,5400
2025-08-26 07:00:00,8.9,9.1,8.9,9.1,2300
2025-08-27 07:00:00,9.1,9.1,9.1,9.1,4800
2025-08-28 07:00:00,8.6,8.9,8.6,8.9,3600
2025-08-29 07:00:00,9.5,9.5,9.0,9.2,7000
2025-09-03 07:00:00,9.2,9.2,9.1,9.1,5700
2025-09-04 07:00:00,9.1,9.2,9.1,9.1,5700
2025-09-05 07:00:00,9.0,9.1,9.0,9.0,13900
2025-09-08 07:00:00,9.5,9.5,9.2,9.2,2900
2025-09-09 07:00:00,9.2,9.2,9.0,9.1,4000
2025-09-10 07:00:00,9.1,9.1,8.4,8.4,2400
2025-09-11 07:00:00,8.8,9.0,8.5,9.0,7000
2025-09-12 07:00:00,8.8,9.0,8.8,9.0,3800
2025-09-15 07:00:00,9.0,9.1,8.4,8.9,5800
2025-09-16 07:00:00,9.0,9.0,8.9,9.0,3200
2025-09-17 07:00:00,9.0,9.0,8.8,8.8,3200
2025-09-18 07:00:00,8.8,8.9,8.8,8.9,1400
2025-09-19 07:00:00,9.0,9.0,8.6,8.9,4800
2025-09-22 07:00:00,8.9,8.9,8.8,8.8,1600
2025-09-23 07:00:00,8.8,8.9,8.7,8.8,1600
2025-09-24 07:00:00,8.8,8.9,8.8,8.9,2100
2025-09-25 07:00:00,8.9,8.9,8.7,8.8,4900
2025-09-26 07:00:00,9.0,9.0,8.8,8.9,2100
2025-09-29 07:00:00,8.9,8.9,8.8,8.8,1900
2025-09-30 07:00:00,8.9,8.9,8.9,8.9,2300
2025-10-01 07:00:00,9.0,9.0,8.9,8.9,400
2025-10-02 07:00:00,8.8,8.8,8.6,8.6,1800
2025-10-03 07:00:00,8.6,8.6,8.6,8.6,2100
2025-10-06 07:00:00,8.6,8.6,8.6,8.6,2100
2025-10-07 07:00:00,8.6,8.6,8.5,8.6,4000
2025-10-08 07:00:00,8.6,8.6,8.4,8.4,1500
2025-10-09 07:00:00,8.6,8.6,8.5,8.5,1000
2025-10-10 07:00:00,8.5,8.6,8.5,8.6,4800
2025-10-13 07:00:00,8.5,8.6,8.5,8.6,3200
2025-10-14 07:00:00,8.6,8.6,8.6,8.6,400
2025-10-15 07:00:00,8.6,8.6,8.5,8.5,600
2025-10-16 07:00:00,8.5,8.5,8.5,8.5,200
2025-10-17 07:00:00,8.5,8.5,8.2,8.3,4300
2025-10-20 07:00:00,8.6,8.6,8.5,8.5,1400
2025-10-21 07:00:00,8.5,8.5,8.5,8.5,3100
2025-10-22 07:00:00,8.4,8.4,8.4,8.4,1200
2025-10-23 07:00:00,9.5,9.5,9.2,9.2,400
2025-10-24 07:00:00,8.7,8.7,8.6,8.6,2500
2025-10-28 07:00:00,8.5,8.5,8.4,8.5,5700
2025-10-30 07:00:00,8.2,8.2,8.2,8.2,1900
2025-10-31 07:00:00,8.2,8.3,8.2,8.3,900
2025-11-03 07:00:00,8.3,8.4,8.3,8.4,1400
2025-11-04 07:00:00,8.3,8.3,8.3,8.3,2900
2025-11-05 07:00:00,8.8,8.8,8.8,8.8,800
2025-11-06 07:00:00,8.0,8.0,8.0,8.0,100
2025-11-10 07:00:00,8.8,8.8,8.0,8.0,500
2025-11-11 07:00:00,8.0,8.5,8.0,8.5,400
2025-11-12 07:00:00,8.3,8.3,8.3,8.3,800
2025-11-13 07:00:00,8.3,8.7,8.3,8.7,900
2025-11-14 07:00:00,8.5,8.5,8.5,8.5,1700
2025-11-18 07:00:00,8.5,8.5,8.5,8.5,200
2025-11-20 07:00:00,8.5,9.0,8.5,9.0,600
2025-11-21 07:00:00,8.3,8.3,8.0,8.1,7600
2025-11-24 07:00:00,8.1,8.1,8.1,8.1,100
2025-11-25 07:00:00,8.1,8.1,8.1,8.1,2000
2025-11-26 07:00:00,8.0,8.1,8.0,8.1,200
2025-11-27 07:00:00,7.8,7.8,7.7,7.7,1300
2025-11-28 07:00:00,7.9,7.9,7.8,7.8,4400
2025-12-01 07:00:00,7.8,7.8,7.8,7.8,300
2025-12-02 07:00:00,7.8,7.8,7.8,7.8,500
2025-12-03 07:00:00,8.1,8.1,7.8,8.0,3600
2025-12-04 07:00:00,8.8,8.8,8.0,8.0,1400
2025-12-05 07:00:00,8.1,8.1,8.1,8.1,500
2025-12-08 07:00:00,8.1,8.1,8.1,8.1,200
2025-12-10 07:00:00,8.1,8.1,8.1,8.1,400
2025-12-11 07:00:00,8.1,8.2,8.1,8.2,300
2025-12-12 07:00:00,8.2,8.2,8.2,8.2,500
2025-12-15 07:00:00,8.2,8.2,8.2,8.2,5600
2025-12-16 07:00:00,8.2,8.2,8.2,8.2,300
2025-12-18 07:00:00,7.1,7.1,7.1,7.1,100
2025-12-19 07:00:00,7.3,7.3,7.2,7.2,200
2025-12-22 07:00:00,7.2,7.3,7.2,7.3,200
2025-12-23 07:00:00,7.4,7.4,7.3,7.3,900
2025-12-24 07:00:00,7.3,7.3,7.3,7.3,500
2025-12-25 07:00:00,7.2,7.2,7.2,7.2,300
2025-12-26 07:00:00,7.2,7.2,7.2,7.2,1500
2025-12-29 07:00:00,7.2,7.2,7.2,7.2,1600
2025-12-30 07:00:00,7.2,7.2,6.2,6.2,3500
2025-12-31 07:00:00,7.2,7.2,7.2,7.2,200
